ID,VICTIMAS,FECHA,ANIO,MES,DIA,HORA,MEDIO,COMUNA,X,Y,PARTICIPANTES,ACUSADO,ROL,DAMNIFICADO,SEXO,EDAD,OBITO,SEMESTRE
2016-0001,1,2016-01-01,2016,1,1,04:00:00,AVENIDA,8,"-58,48","-34,69",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,19,1,1
2016-0002,1,2016-01-02,2016,1,2,01:15:00,AUTOPISTA,9,"-58,51","-34,67",AUTO-PASAJEROS,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,70,1,1
2016-0003,1,2016-01-03,2016,1,3,07:00:00,AVENIDA,1,"-58,39","-34,63",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,30,1,1
2016-0004,1,2016-01-10,2016,1,10,00:00:00,AVENIDA,8,"-58,47","-34,68",MOTO-SD,DESCONOCIDO,CONDUCTOR,MOTO,MASCULINO,18,1,1
2016-0005,1,2016-01-21,2016,1,21,05:20:00,AVENIDA,1,"-58,39","-34,62",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,29,1,1
2016-0008,1,2016-01-24,2016,1,24,18:30:00,AVENIDA,8,"-58,44","-34,68",MOTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,MOTO,MASCULINO,30,1,1
2016-0009,1,2016-01-24,2016,1,24,19:10:00,CALLE,11,"-58,50","-34,61",MOTO-AUTO,AUTO,PASAJERO,MOTO,MASCULINO,29,1,1
2016-0010,1,2016-01-29,2016,1,29,15:20:00,AUTOPISTA,9,"-58,51","-34,67",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,18,1,1
2016-0012,1,2016-02-08,2016,2,8,01:20:00,AVENIDA,1,"-58,38","-34,61",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,22,1,1
2016-0013,1,2016-02-10,2016,2,10,11:30:00,AVENIDA,1,"-58,39","-34,62",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,16,1,1
2016-0015,1,2016-02-14,2016,2,14,05:14:00,AVENIDA,15,"-58,44","-34,60",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,16,1,1
2016-0016,1,2016-02-14,2016,2,14,22:00:00,AVENIDA,4,"-58,37","-34,64",MOTO-AUTO,AUTO,PASAJERO,MOTO,FEMENINO,19,1,1
2016-0017,1,2016-02-15,2016,2,15,16:54:00,AVENIDA,8,"-58,45","-34,66",PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,59,1,1
2016-0019,1,2016-02-17,2016,2,17,09:30:00,CALLE,9,"-58,51","-34,65",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,65,1,1
2016-0020,1,2016-02-17,2016,2,17,16:00:00,CALLE,1,"-58,38","-34,61",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,59,1,1
2016-0021,1,2016-02-17,2016,2,17,23:35:00,AVENIDA,7,"-58,45","-34,63",AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,34,1,1
2016-0022,1,2016-02-21,2016,2,21,06:00:00,AVENIDA,1,"-58,38","-34,61",MOTO-AUTO,AUTO,PASAJERO,MOTO,MASCULINO,41,1,1
2016-0025,1,2016-02-28,2016,2,28,04:50:00,AUTOPISTA,8,"-58,46","-34,71",AUTO-AUTO,AUTO,PASAJERO,AUTO,MASCULINO,34,1,1
2016-0026,1,2016-02-28,2016,2,28,07:30:00,CALLE,12,"-58,49","-34,55",AUTO-OBJETO FIJO,OBJETO FIJO,CONDUCTOR,AUTO,MASCULINO,30,1,1
2016-0027,1,2016-02-28,2016,2,28,09:35:00,AVENIDA,7,"-58,44","-34,64",AUTO-AUTO,AUTO,PASAJERO,AUTO,MASCULINO,34,1,1
2016-0028,1,2016-03-02,2016,3,2,10:00:00,AVENIDA,1,"-58,38","-34,60",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,50,1,1
2016-0029,1,2016-03-04,2016,3,4,17:30:00,AVENIDA,12,"-58,47","-34,54",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,38,1,1
2016-0031,1,2016-03-08,2016,3,8,12:30:00,AUTOPISTA,8,"-58,47","-34,70",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,21,1,1
